latitude,longitude,acq_date
32.73384,-82.58336,2026-01-28
17.93245,-102.19495,2026-01-28
20.56591,-102.51055,2026-01-28
23.01207,-102.29869,2026-01-28
19.40651,-155.26997,2026-01-28
19.40522,-155.27922,2026-01-28
19.41526,-155.27136,2026-01-28
19.41397,-155.28059,2026-01-28
19.41269,-155.28983,2026-01-28
19.71545,-90.59027,2026-01-28
19.39882,-92.04186,2026-01-28
18.51777,-96.1429,2026-01-28
17.85126,-93.1188,2026-01-28
17.84978,-93.10802,2026-01-28
17.84178,-93.12018,2026-01-28
17.84031,-93.10939,2026-01-28
17.75967,-92.91074,2026-01-28
32.11104,-82.68008,2026-01-28
26.84412,-80.48041,2026-01-28
26.84249,-80.46572,2026-01-28
26.83185,-80.46712,2026-01-28
26.72527,-80.42802,2026-01-28
26.73297,-81.03452,2026-01-28
26.73125,-81.01862,2026-01-28
26.7202,-81.02001,2026-01-28
26.63648,-80.55027,2026-01-28
26.63488,-80.53555,2026-01-28
26.62876,-80.81627,2026-01-28
26.58095,-80.88483,2026-01-28
26.51772,-80.63861,2026-01-28
26.51606,-80.62379,2026-01-28
26.507,-80.64001,2026-01-28
26.4792,-80.88904,2026-01-28
26.47511,-80.88,2026-01-28
19.41453,-155.25958,2026-01-28
42.30419,-97.822,2026-01-28
40.93126,-96.75305,2026-01-28
31.83792,-98.04104,2026-01-28
32.06713,-100.20779,2026-01-28
31.30901,-98.1545,2026-01-28
31.12008,-97.94755,2026-01-28
30.34199,-98.42341,2026-01-28
30.29175,-98.46088,2026-01-28
30.29015,-98.45042,2026-01-28
30.10153,-97.48982,2026-01-28
30.20354,-99.1043,2026-01-28
29.98889,-98.47588,2026-01-28
29.86247,-99.29866,2026-01-28
29.45902,-97.75314,2026-01-28
27.01001,-97.57082,2026-01-28
27.00808,-97.55907,2026-01-28
26.59891,-98.22944,2026-01-28
26.47791,-98.11066,2026-01-28
26.47613,-98.09946,2026-01-28
26.31033,-98.28204,2026-01-28
26.30857,-98.27099,2026-01-28
26.26207,-98.28005,2026-01-28
26.26029,-98.269,2026-01-28
26.29824,-98.56482,2026-01-28
25.60693,-100.91541,2026-01-28
24.75587,-98.01598,2026-01-28
24.30333,-98.47205,2026-01-28
24.30153,-98.46078,2026-01-28
24.29207,-98.46257,2026-01-28
24.08971,-98.93737,2026-01-28
24.08801,-98.92661,2026-01-28
21.50681,-101.93507,2026-01-28
20.57397,-101.17231,2026-01-28
20.52839,-100.92602,2026-01-28
20.64813,-102.24111,2026-01-28
20.64681,-102.2318,2026-01-28
20.5676,-102.26031,2026-01-28
20.04288,-99.28474,2026-01-28
19.74661,-98.60081,2026-01-28
20.24273,-101.98788,2026-01-28
20.23956,-102.10876,2026-01-28
20.23822,-102.09947,2026-01-28
19.73488,-99.21915,2026-01-28
19.60929,-99.21858,2026-01-28
19.09055,-97.79967,2026-01-28
19.03918,-97.49298,2026-01-28
19.57619,-103.42477,2026-01-28
19.55552,-104.49937,2026-01-28
18.72775,-98.97539,2026-01-28
18.68001,-99.56652,2026-01-28
19.2019,-103.51637,2026-01-28
19.09484,-102.74641,2026-01-28
18.46522,-98.75368,2026-01-28
18.99992,-102.47453,2026-01-28
46.52883,-120.34187,2026-01-28
44.49108,-118.59464,2026-01-28
43.80743,-120.3508,2026-01-28
40.5038,-123.73622,2026-01-28
40.1428,-121.70316,2026-01-28
40.13568,-121.7166,2026-01-28
40.13406,-121.70522,2026-01-28
39.01374,-120.8345,2026-01-28
38.63353,-120.53771,2026-01-28
38.63173,-120.52613,2026-01-28
38.63914,-123.3321,2026-01-28
19.41598,-155.27135,2026-01-28
19.40736,-155.28519,2026-01-28
19.40584,-155.27266,2026-01-28
19.4043,-155.25998,2026-01-28
19.3972,-155.28639,2026-01-28
26.46683,-80.61599,2026-01-28
27.30964,-81.55422,2026-01-28
28.83509,-82.05061,2026-01-28
28.97245,-81.45954,2026-01-28
28.93059,-82.57333,2026-01-28
28.92898,-82.58359,2026-01-28
29.33957,-82.2099,2026-01-28
29.54157,-81.60772,2026-01-28
29.65235,-81.23537,2026-01-28
29.6509,-81.24535,2026-01-28
29.7216,-81.2759,2026-01-28
29.72015,-81.28588,2026-01-28
29.69831,-81.43548,2026-01-28
29.69684,-81.44544,2026-01-28
29.86561,-82.03655,2026-01-28
30.21572,-81.48481,2026-01-28
30.21425,-81.49483,2026-01-28
30.14198,-82.83706,2026-01-28
30.31716,-81.93018,2026-01-28
